Created By,Reported On,Created On,Travel Time,Incident Id,Customer,Location,Contract,Priority,SLA,Servicing Team,Category,Service Type,Subject,Technician,Item Id,Incident Summary,Resolution Summary,Task Summary,Model No,Serial No,ATM ID,Part Number,Service Report No,Task ID,Task Description,Task Type,Task Status,Hours to be Billed,Status,Contact Person,Zone-wise,ATM Installation Date,ATM Age,No. of Years,Intervention Type,Intervention Time,Geo,Day of the Week,Group by Week,WEEKNUM,MONTH,YEAR,Time Taken,Start DateTime,End DateTime,Month
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113016,Bank 11,Rose-Hill,2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 5,1827.0,R HILL M 3303 MODEL 6634 Dispenser Faulty Contact STEPHANIE 4072311 DATE 4/1/23,REPLACED MAIN CAPACITOR REPLACED IDLER GERS GEARS PULLEY,REPLACED MAIN CAPACITOR REPLACED IDLER GERS GEARS PULLEY,6634 GBRU,83-43548865,3303,6634 GBRU,ATM - MCB SLA,13123.0,REPLACED MAIN CAPACITOR REPLACED IDLER GERS GEARS PULLEY,Work Request,Closed,105.0,Closed,Contact MRU,Zone 2 (Lower Plaines Wilhems & Black-River),2021-06-25 00:00:00,2.328767123287671,2 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:45:00,2023-01-04 12:00:00,2023-01-04 13:45:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113017,Bank 11,"PLMB, Port-Louis",2021-07-ATM-1,Priority missing,24 Hour SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Receipt printer,Technician 4,1765.0,MCB PLMB M 9501 RECEIPT PRINTER FAULTY​ MODEL 6626 CONTACT DARYL 57704494 DATE 4/1/23,"Waiting Time: 50min Issue with Receipt Printer Trouble shoot: Issue Shutdown Machine Dismantle Module , Replace Cut Restart Application Clear Fault Run several test: completed successfully","Waiting Time: 50min Issue with Receipt Printer Trouble shoot: Issue Shutdown Machine Dismantle Module , Replace Cut Restart Application Clear Fault Run several test: completed successfully",6626,83-44583387,9501,6626,ATM - MCB SLA,13110.0,"Waiting Time: 50min Issue with Receipt Printer Trouble shoot: Issue Shutdown Machine Dismantle Module , Replace Cut Restart Application Clear Fault Run several test: completed successfully",Work Request,Closed,120.0,Closed,Contact MRU,Zone 1 (Port-Louis),To be determined,2.328767123287671,2 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,02:00:00,2023-01-04 12:45:00,2023-01-04 14:45:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113020,Bank 9,Quatre Bornes,2021-11-ATM-2,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 2,3054.0,04/01/2022 5134011 NCR Selfserv 6684 ATM SBM Quatre Bornes 71-60447321 Cash Handler Fatal Mrs Anusha 202 4604 DATE 4/1/23 202 1854,GBRU faulty,Notes jammed at pre-BV - removed 2 x Rs1000 jammed notes at pre-BV module. Belt broken on pre-BV. Changed belt on pre-BV module and removed dust from other modules. GBRU initialized and tested with notes - ok. ATM put in service and tested. ATM tested ok.,6627,94-60555903,SAN01501,6627,ATM - MCB SLA,13064.0,Notes jammed at pre-BV - removed 2 x Rs1000 jammed notes at pre-BV module. Belt broken on pre-BV. Changed belt on pre-BV module and removed dust from other modules. GBRU initialized and tested with notes - ok. ATM put in service and tested. ATM tested ok.,Work Request,Closed,120.0,Closed,Contact MRU,Zone 2 (Lower Plaines Wilhems & Black-River),2017-02-08 00:00:00,6.706849315068493,7 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,02:00:00,2023-01-04 13:30:00,2023-01-04 15:30:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113021,Bank 8,Port-Louis Main Branch,2022-04-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Cassette,Technician 4,3539.0,11:30 - SBI - SIR WILLIAM NEWTON - CASSETTE 2000 FAULTY - TO CHANGE PUMP AND ADVISE TO CHANGE CASSETTE ON NEXT INTERVENTION,"Issue with Cash Handler Trouble shoot: Issue Dismantle Module on Position No:1 Replace Pinch Roller, D-wheel & Bearing Clear fault Run several test: completed successfully","Issue with Cash Handler Trouble shoot: Issue Dismantle Module on Position No:1 Replace Pinch Roller, D-wheel & Bearing Clear fault Run several test: completed successfully",6634,83-43548811,ATM ID Missing,6634,"Mon-Sat 8:45 to 20:00,Sun & PH 8:45 to 13:00",13111.0,"Issue with Cash Handler Trouble shoot: Issue Dismantle Module on Position No:1 Replace Pinch Roller, D-wheel & Bearing Clear fault Run several test: completed successfully",Work Request,Closed,95.0,Closed,Contact MRU,Zone 1 (Port-Louis),2019-11-12 00:00:00,3.947945205479452,4 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:35:00,2023-01-04 14:55:00,2023-01-04 16:30:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113022,Bank 11,Black River,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Dispencer,Technician 2,1602.0,10:38 - MCB 3138 - RIVIERE NOIRE - MEDIA DISPENSER FAULTY - CT NAUSHAD 4072023,Cash handler issue,"Cash handler faulty Vacuum failure Change pump, Filter and all pipes Run test and found ok",6684 GBRU,94-57696932,3138,6684 GBRU,ATM - MCB SLA,12986.0,"Cash handler faulty Vacuum failure Change pump, Filter and all pipes Run test and found ok",Work Request,Closed,120.0,Closed,Contact MRU,Zone 2 (Lower Plaines Wilhems & Black-River),2015-04-11 00:00:00,8.53972602739726,8 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,02:00:00,2023-01-04 13:00:00,2023-01-04 15:00:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113023,Bank 11,"St.Jean, Quatre-Bornes",2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Application issue,Technician 2,2604.0,07:55 - MCB 7601 - ST JEAN - RECURRENT DISCONNECTION NETWORK - BRINKS 11:30,ATM freezing,Serviced card reader - tested ok. Removed jammed card. Changed smart chip reader. Log in as administrator and delete custom.dat. Ask for download on ATM. ATM restarted and tested. Card reader tested several times. ATM tested ok.,6626,94-45142666,7601,6626,ATM - MCB SLA,13063.0,Serviced card reader - tested ok. Removed jammed card. Changed smart chip reader. Log in as administrator and delete custom.dat. Ask for download on ATM. ATM restarted and tested. Card reader tested several times. ATM tested ok.,Work Request,Closed,65.0,Closed,Contact MRU,Zone 2 (Lower Plaines Wilhems & Black-River),2010-04-16 00:00:00,13.528767123287672,13 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:05:00,2023-01-04 11:30:00,2023-01-04 12:35:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113024,Bank 11,Riviere des Anguilles,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Physical Check,Technician 3,1728.0,08:45 - MCB RIVIERE DES ANGUILLES - NOTE STUCK IN BNA,GBRU,REPAIRS DONE ON GBRU. CLEAR PARTS OF NOTE. CLEAN DRIVE ASSEMBLY AND SENSORS. LUBRICATE DRIVE MECHANISM OF PREACCEPTOR CARRIAGE ASSEMBLY. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,6626,83-46468507,3224,6626,ATM - MCB SLA,12984.0,REPAIRS DONE ON GBRU. CLEAR PARTS OF NOTE. CLEAN DRIVE ASSEMBLY AND SENSORS. LUBRICATE DRIVE MECHANISM OF PREACCEPTOR CARRIAGE ASSEMBLY. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,Work Request,Closed,70.0,Closed,Contact MRU,Zone 3 (Upper Plaines Wilhems & South),2012-12-13 00:00:00,10.865753424657534,11 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:10:00,2023-01-04 12:45:00,2023-01-04 13:55:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113025,Bank 9,Riviere des Anguilles,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 3,1360.0,11:04 - SBM RIVIERE DES ANGUILLES - ATM NOT PAYING - CT SHAHEEN 2021899,CASH DISPENSER,"REPAIRS DONE ON CASH DISPENSER. REPLACE D PICK WHEELS OF 1ST PICK MODULE. CLEAN PICK MODULES AND SENSORS. CLEAN AND LUBRICATE DRIVE ROLLERS, GEARS, SHAFTS AND BEARINGS. ALIGNMENT DONE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.",6634,83-41103445,ATM ID Missing,6634,ATM- SBM SLA,12985.0,"REPAIRS DONE ON CASH DISPENSER. REPLACE D PICK WHEELS OF 1ST PICK MODULE. CLEAN PICK MODULES AND SENSORS. CLEAN AND LUBRICATE DRIVE ROLLERS, GEARS, SHAFTS AND BEARINGS. ALIGNMENT DONE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.",Work Request,Closed,60.0,Closed,Contact MRU,Zone 3 (Upper Plaines Wilhems & South),2019-11-10 00:00:00,3.9534246575342467,4 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:00:00,2023-01-04 14:00:00,2023-01-04 15:00:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113026,Bank 4,Curepipe,2021-01-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Stock Count,Technician 3,2036.0,10:55 - BANKONE CUREPIPE - JOURNAL ERROR - PRATIMA 59409247,Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,6634,13-48374882,ATM ID Missing,6634,ATM - BANKONE SLA,13012.0,Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,Work Request,Closed,60.0,Closed,Contact MRU,Zone 3 (Upper Plaines Wilhems & South),2019-10-22 00:00:00,4.005479452054795,4 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:00:00,2023-01-04 11:50:00,2023-01-04 12:50:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:40,113027,Bank 11,Beau Plan,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 1,1519.0,03/01 -12:23- MCB 3347 - BEAU PLAN - CASH HANDLER - CT 4072993,"REPAIR + SERVICE S2 CASH DISP. CLEAN TRANSPORT SENSORS + MECH. & FILTER. SNT- CLEAN SENSORS, ROLLERS + LUBRICATE MECH. CARRIAGE CLEAN SENSORS + LUBRICATE MECH. REPLACE BUSHINGS IN ALL PICK MOD. & CUPS IN OICK MOD.1 & 2. MULTIPLE TESTS DONE –OK.",Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,6684,13-59351802,3147,6684,ATM - MCB SLA,12990.0,Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,Work Request,Closed,165.0,Closed,Contact MRU,Undefined,To be determined,4.005479452054795,4 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,02:45:00,2023-01-04 10:15:00,2023-01-04 13:00:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:50,113028,Bank 7,In Store,ATM support,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Dispencer,Technician 1,1294.0,11:03 - MAUBANK TERRE ROUGE - DISPENSER FAULTY - CT PATRICK 57077865,"REPAIR + SERVICE CASH DISP. CLEAN PICK, TIMING AND TRANSPORT SENSORS + FILTER. CLEAN + LUBRICATE STACKER. LUBRICATE SHAFTS + ROLLERS IN PRESENTER. MULTIPLE TESTS DONE OK.",Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,6634,83-43549635,ATM ID Missing,6634,slal type data,12991.0,Notes Discrepancy on Cassette 3. *2 Rs500 notes missing Logs have been retrieved for analysis. ATM in service working fine. Upon troubleshooting no hardware issues found.,Work Request,Closed,70.0,Closed,Contact MRU,Undefined,2010-02-19 00:00:00,13.682191780821919,13 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:10:00,2023-01-04 13:25:00,2023-01-04 14:35:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113029,Bank 7,KENDRA (St.Pierre),ATM support,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Idle/Freeze,Technician 1,1306.0,08:45 - MAUBANK ST PIERRE - ATM FREEZE - RECEIVED CALL FROM BHARAT,Check logs. Adjust cables correctly on card reader. Clean and check card reader. Run tests ok,Check logs. Adjust cables correctly on card reader. Clean and check card reader. Run tests ok,6684 GBRU,94-57696288,ATM ID Missing,6684 GBRU,slal type data,13048.0,Check logs. Adjust cables correctly on card reader. Clean and check card reader. Run tests ok,Work Request,Closed,100.0,Closed,Contact MRU,Zone 4 (North&East),2011-02-10 00:00:00,12.706849315068494,13 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:40:00,2023-01-04 09:50:00,2023-01-04 11:30:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113030,Bank 11,Riviere du Rempart,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,GBRU,Technician 1,1700.0,13:03 - MCB 3219 - RIVIERE DU REMPART - GBRU & CASH DEPO - CT PERCY 4072632,"Place belts correctly on GBRU. Clean sensors, belts and BV module. Run tests ok","Place belts correctly on GBRU. Clean sensors, belts and BV module. Run tests ok",6634 GBRU,83-51982102,3219,6634 GBRU,ATM - MCB SLA,13047.0,"Place belts correctly on GBRU. Clean sensors, belts and BV module. Run tests ok",Work Request,Closed,60.0,Closed,Contact MRU,Undefined,2010-12-10 00:00:00,12.876712328767123,13 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,01:00:00,2023-01-04 14:00:00,2023-01-04 15:00:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113031,Bank 11,Chemin Grenier,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Physical Check,Technician 3,1813.0,09:00 - MCB 3217 - CHEMIN GRENIER - NOTE STUCK IN BNA,Note jam in GBRU Rs 1000 note found jam in BV and pre-BV BV sensor error BV remove and clean RAS mode test done of every part of the GBRU Machine put in service Withdrawals done successfully,Note jam in GBRU Rs 1000 note found jam in BV and pre-BV BV sensor error BV remove and clean RAS mode test done of every part of the GBRU Machine put in service Withdrawals done successfully,6634 GBRU,13-55704753,3217,6634 GBRU,ATM - MCB SLA,13007.0,Note jam in GBRU Rs 1000 note found jam in BV and pre-BV BV sensor error BV remove and clean RAS mode test done of every part of the GBRU Machine put in service Withdrawals done successfully,Work Request,Closed,150.0,Closed,Contact MRU,Undefined,2011-02-15 00:00:00,12.693150684931506,12 Years old,ATM Interventions,Before 5PM,Mauritius,Wed,,,Jan,2023,02:30:00,2023-01-04 11:00:00,2023-01-04 13:30:00,Jan
